id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201542249349300954	344438	68709	68709		385	435
201531349349305353	38335	49927	49927		0	0
201542399349300724	603535	348126	348126		0	9842
201502239349301460	137017	210906	210906		0	0
201502439349300735	372522	441452	441452		98	-3174
201500729349300330	3886855	4286945	4286945		104638	121881
201522369349300207	432619	594609	594609		0	0
201501349349305660	418960	44427	44427		391823	307090
201522369349300307	277082	722789	722789		43051	59512
201541359349309199	6017511	6118975	6118975		5981	2582
201521599349300852	294874	254497	254497		181	103
201531359349306593	0	0			270	318
201532299349302418	447104	431291	431291		10	37
201532299349302443	1534385	2240547	2240547		63	0
201521319349300912	39290	54034	54034		8923	47214
201532299349302518	0	41404	41404		50005	38501
201532299349301003	0	0			1076	4194
201532299349302558	692968	712936	712936		41411	15722
201521499349300842	390470	152370	152370		69869	65164
201501319349303315	0	0			502	516
201541769349300424	407204	488917	488917		886	486
201531599349300028	37778	64427	64427		121	159
201532469349300403	98017	78012	78012		0	0
201501669349300845	39105	54946	54946		96	96
201520489349300942	4032666	3452716	3452716		50917	112657
201500129349300230	9530144	3885286	3885286		589039	894849
201512229349301031	4255925	6269615	6269615		7626	-9368
201531349349307178	11982	10664	10664		0	0
201511359349306896	132081	240741	240741		1109	299
201531669349300018	426090	69830	69830		2556	2672
201512309349300001	150469	333334	333334		513	1863
201501909349301150	227087	1181364	1181364		8595	16270
201541339349303099	619613	793499	793499		2305116	2114567
201541359349301799	15549	6355	6355		28	24
201511349349301456	177813	155129	155129		530	461
201501539349300400	7675	10480	10480		131	220
201531749349300248	11495	0			12	0
201511989349300811	0	400	400		18	38
201501359349302320	1500000	0			2706429	1075861
201531149349300023	0	0			2499	2354
201521339349303587	0	0			831	474
201511669349301061	606762	807222	807222		868	682
201521629349300802	228622	216267	216267		2	2
201540449349302459	4360483	4509048	4509048		108700	175567
201501059349300635	875713	1534139	1534139		2566	102
201511639349301051	20725155	22258460	22258460		6229497	1677313
201541919349300104	26220	23980	23980		6	8
201501409349300605	193742	201537	201537		1	0
201512169349301281	670236	380005	380005		-501	324
201541699349300104	46775	39745	39745		98	103
201531839349300618	17293876	17818508	17818508		118748	948978
201542299349300119	0	0			0	11
201502649349300025	41706	14668	14668		4060	259
201532659349300638	874054	1907013	1907013		5809	18104
201532659349300753	330282	114711	114711		2881	4390
201532659349300953	0	179520	179520		0	1397
201542659349300224	609903	574510	574510		4823	-176
201522229349302152	43749	44401	44401		128980	68540
201542659349300314	37899	54987	54987		2390	738
201501499349300400	81011	62639	62639		18491	6343
201521819349300222	1499288	1579323	1579323		2093	1148
201520129349301342	0	0			23063	56897
201532229349302253	1634168	256960	256960		265161	340007
201522369349300537	307615	103036	103036		13563	13179
