id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201542249349300954	344438	68709	68709		385	435
201510659349200201				4910		
201521699349200427				310		
201530429349200853				4903		
201531349349305353	38335	49927	49927		0	0
201542399349300724	603535	348126	348126		0	9842
201530629349100408						
201502529349100310						
201502239349301460	137017	210906	210906		0	0
201511359349101536						
201502309349200960						
201542029349300824		989148	989148			131
201502439349300735	372522	441452	441452		98	-3174
201531209349101023			240000			
201520159349100102						
201500729349300330	3886855	4286945	4286945		104638	121881
201542169349100604						
201522369349300207	432619	594609	594609		0	0
201531349349202693				33345		
201501349349305660	418960	44427	44427		391823	307090
201522369349300307	277082	722789	722789		43051	59512
201541769349100314						
201542109349200239				51437		
201532269349201678				16050		
201501299349100600						
201541359349309199	6017511	6118975	6118975		5981	2582
201521599349300852	294874	254497	254497		181	103
201531359349306593	0	0			270	318
201501339349202095			RESTRICTED	96489		
201532299349302418	447104	431291	431291		10	37
201511489349100501						
201541359349102834			116631			
201532299349302443	1534385	2240547	2240547		63	0
201531269349200868						
201502259349303505	154742	187195	187195			0
201521359349101267						
201542169349200724						
201521319349300912	39290	54034	54034		8923	47214
201532299349302518	0	41404	41404		50005	38501
201532299349301003	0	0			1076	4194
201521329349301942		580000	580000			0
201532299349302558	692968	712936	712936		41411	15722
201542399349200309				26		
201502089349200715			RESTRICTED	49130		
201502729349200210						
201521499349300842	390470	152370	152370		69869	65164
201501319349303315	0	0			502	516
201541769349300424	407204	488917	488917		886	486
201511699349300951		0			21553	9467
201542399349200709				3170		
201501049349200625				31895		
201531599349300028	37778	64427	64427		121	159
201542399349200909				32188		
201521779349300407		0	0		324	881
201510949349300906		0			2769	3643
201530489349302118		0			535	412
201522379349200202						
201522019349200002			RESTRICTED	115427		
201511839349300526		0			23797	24379
201532469349300403	98017	78012	78012		0	0
201522379349200322						
201511349349203316				6000		
201501669349300845	39105	54946	54946		96	96
201541329349201204				27525		
201511879349200326				12790		
201540989349100124						
201520489349300942	4032666	3452716	3452716		50917	112657
201532399349201003						
201500099349300790		108	108			-670
201502529349200715				1651		
201500129349300230	9530144	3885286	3885286		589039	894849
201531749349200028				39852		
201512229349301031	4255925	6269615	6269615		7626	-9368
201531349349307178	11982	10664	10664		0	0
201501049349100415						
201511359349306896	132081	240741	240741		1109	299
201511339349200841			RESTRICTED	7500		
201531669349300018	426090	69830	69830		2556	2672
201502649349200110			RESTRICTED	95393		
201502649349200120				110956		
201512309349300001	150469	333334	333334		513	1863
201501909349301150	227087	1181364	1181364		8595	16270
201541339349303099	619613	793499	793499		2305116	2114567
201502649349200210				4476		
201521289349201437				5650		
201542299349301239	291311	413276	413276			0
201511289349302066		0	0		12156	7956
201502089349200220				30810		
201541359349301799	15549	6355	6355		28	24
201511349349301456	177813	155129	155129		530	461
201502649349200315			RESTRICTED	51462		
201501919349100315						
201511179349100316						
201522679349200002				360		
201531319349200548			RESTRICTED	99373		
201531569349200753				5443		
201501539349300400	7675	10480	10480		131	220
201531749349300248	11495	0			12	0
201510429349200631			RESTRICTED	119451		
201511989349300811	0	400	400		18	38
201522659349300012		0			330	2732
201542249349200819						
201500869349200120				87259		
201501359349302320	1500000	0			2706429	1075861
201502539349200500						
201532649349300438		0	0		70952	98569
201502229349200700						
201521339349102802						
201500219349200305			RESTRICTED	121163		
201502259349200830						
201500999349200030				11920		
201531149349300023	0	0			2499	2354
201501329349101565						
201521339349303587	0	0			831	474
201501249349200920				27761		
201511669349301061	606762	807222	807222		868	682
201512659349200121				0		
201521629349300802	228622	216267	216267		2	2
201540449349302459	4360483	4509048	4509048		108700	175567
201521279349200102				74026		
201501059349300635	875713	1534139	1534139		2566	102
201512659349200326						
201511639349301051	20725155	22258460	22258460		6229497	1677313
201512659349200526						
201502539349300305		10000	10000		93208	37013
201541919349300104	26220	23980	23980		6	8
201542259349200964			RESTRICTED	85638		
201531349349200728				54800		
201521359349200872				0		
201522249349200147				145		
201501409349300605	193742	201537	201537		1	0
201522299349201912			RESTRICTED	95327		
201522159349300607	150755	442318	442318			-504
201532649349200013						
201521349349100137						
201532329349200628						
201542619349200514				100000		
201542619349200809						
201541269349200249				17210		
201512169349301281	670236	380005	380005		-501	324
201541699349300104	46775	39745	39745		98	103
201532269349301338		0			190	646
201532159349100223						
201531839349300618	17293876	17818508	17818508		118748	948978
201542299349300119	0	0			0	11
201502649349300025	41706	14668	14668		4060	259
201532659349300638	874054	1907013	1907013		5809	18104
201511699349300436	198600	323725	323725			0
201532659349300753	330282	114711	114711		2881	4390
201532659349300953	0	179520	179520		0	1397
201531539349300303		0			43777	36667
201501569349200125						
201532249349200448				0		
201542659349300224	609903	574510	574510		4823	-176
201501319349100910						
201522229349302152	43749	44401	44401		128980	68540
201542659349300314	37899	54987	54987		2390	738
201501499349300400	81011	62639	62639		18491	6343
201521819349300222	1499288	1579323	1579323		2093	1148
201520129349301342	0	0			23063	56897
201511359349200901				500		
201522339349100202						
201531289349100033			101942			
201522369349300517	19514	0				0
201531339349101598			700000			
201532229349302253	1634168	256960	256960		265161	340007
201522369349300537	307615	103036	103036		13563	13179
201522209349300702		0			3727	6537
201501399349300120	857764	952176	952176		494	98
201511359349202251			RESTRICTED	173660		
201541919349300029	342437	370242	370242			0
201541829349300904	13715	14290	14290			0
201522369349300617	118876	106833	106833		295	1569
201512299349304176	0	0	0		18158612	18876857
201511209349200026			RESTRICTED	16700		
201522369349300637	486307	261051	261051		14102	28572
201531359349306048	0	0			9492	0
201521339349201552			RESTRICTED	53488		
